Row,Item Type,Publication Year,Author,Title,Publication Title,DOI,Url,Abstract Note,Keywords,Database,Citation,"Social Movements, politics, policy, and Activism",News,Mis/Disinformation,Social Stratification or Segregation,Economic sociology,Health,Other
547,journalArticle,2011,"Small, TA",WHAT THE HASHTAG? A content analysis of Canadian politics on Twitter,INFORMATION COMMUNICATION & SOCIETY,10.1080/1369118X.2011.554572,,"Twitter is the latest social networking tool said to be reshaping politics. Twitter allows subscribers to write a 140-character status update, called a 'tweet'. This research analyzes the intersection of microblogging and Canadian politics. There is little scholarship on the political aspects of Twitter. This paper seeks to fill this gap through a content analysis of the most popular Canadian political hashtag, #cdnpoli. Designated by a 'hash' symbol (#), a hashtag is a keyword assigned to information that describes a tweet and aides in searching. With 50 million tweets per day, hashtags are central to organizing information on Twitter. Hashtags organize discussion around specific topics or events. Political hashtags came to prominence in events like the 2009 Iran presidential election. Indeed, #iranelection was the number one news topic on Twitter in 2009. The popular literature suggests that Twitter is a democratic media because it allows for on-the-ground reporting of breaking news and democratic activism. This analysis shows that informing is the primary function of a political hashtag such as #cdnpoli. Political dialogue and reporting is rare. Contributors scour the internet for relevant online information on Canadian politics and use #cdnpoli as a dissemination feed. The value of a political hashtag derives from the real-time nature of the information shared.",politics; e-democracy; web 2.0,WOS,769,,,,,,,
650,journalArticle,2016,"Papacharissi, Z","Affective publics and structures of storytelling: sentiment, events and mediality",INFORMATION COMMUNICATION & SOCIETY,10.1080/1369118X.2015.1109697,,"In this essay, I further explicate the construct of affective publics by drawing elements from two case studies, the first focusing on uses of Twitter leading up to and following the events surrounding the resignation of Hosni Mubarak via #egypt, and the second one focusing on online iterations of the Occupy movement, and specifically #ows, one of the more connective and central tags ofthe movement. I explore what mediated feelings of connectedness do for politics and networked publics in the digital age, and explore their impact on structures of storytelling, sentiment, and the mediality of events broadcast through different platforms. Technologies network us, but it is our stories that connect us.",Big data; NEWS; social media; social movements; affective publics; NUMBER-EGYPT,WOS,661,,,,,,,
1393,journalArticle,2018,"Fletcher, Richard; Nielsen, Rasmus Kleis",Are people incidentally exposed to news on social media? A comparative analysis.,New Media & Society,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=130484964&site=ehost-live,"Scholars have questioned the potential for incidental exposure in high-choice media environments. We use online survey data to examine incidental exposure to news on social media (Facebook, YouTube, Twitter) in four countries (Italy, Australia, United Kingdom, United States). Leaving aside those who say they intentionally use social media for news, we compare the number of online news sources used by social media users who do not see it as a news platform, but may come across news while using it (the incidentally exposed), with people who do not use social media at all (non-users). We find that (a) the incidentally exposed users use significantly more online news sources than non-users, (b) the effect of incidental exposure is stronger for younger people and those with low interest in news and (c) stronger for users of YouTube and Twitter than for users of Facebook. [ABSTRACT FROM AUTHOR]",Social media; Twitter (Web resource); Twitter; social media; Facebook (Web resource); News websites; Facebook; journalism; news; Comparative research; YouTube; YouTube (Web resource); incidental exposure,SocIndex,626,,,,,,,
1439,journalArticle,2013,"Nah, Seungahn; Saxton, Gregory D.",Modeling the adoption and use of social media by nonprofit organizations.,New Media & Society,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=85788284&site=ehost-live,"The article presents information on a study which discusses the use of social media and the organizational adoption in examining the determinants of several key facets of social media utilization which include adoption, frequency of use, and dialogue. It discusses the importance of organizational strategies, external pressures, and governance features in social media adoption. It informs that the study helps to understand the type of organizations, which are willing to adopt and juggle multiple social media accounts. It also informs that use of web source Facebook and Twitter by the non-profit organizations of the U.S. in examining the social relationships.","Social media; Twitter (Web resource); Facebook (Web resource); Online social networks; Nonprofit organizations; Interpersonal relations; Associations, institutions, etc.; Social accounting",SocIndex,596,,,,,,,
1752,journalArticle,2021,"Callard, Felicity; Perego, Elisa",How and why patients made Long Covid.,Social Science & Medicine,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=147681164&site=ehost-live,"Patients collectively made Long Covid – and cognate term 'Long-haul Covid' – in the first months of the pandemic. Patients, many with initially 'mild' illness, used various kinds of evidence and advocacy to demonstrate a longer, more complex course of illness than laid out in initial reports from Wuhan. Long Covid has a strong claim to be the first illness created through patients finding one another on Twitter: it moved from patients, through various media, to formal clinical and policy channels in just a few months. This initial mapping of Long Covid – by two patients with this illness – focuses on actors in the UK and USA and demonstrates how patients marshalled epistemic authority. Patient knowledge needs to be incorporated into how COVID-19 is conceptualised, researched, and treated. • Patients made visible the persistence and heterogeneity of COVID-19 symptoms. • Patients experiencing long-term symptoms ('long-haulers') made Long Covid. • Long Covid challenges early clinical and governmental assumptions about Covid. • Knowledge travelled from patients through media to formal health and policy channels. • Patient expertise and knowledge should be incorporated in the pandemic evidence base. [ABSTRACT FROM AUTHOR]",Twitter (Web resource); United Kingdom; United States; COVID-19; COVID-19 pandemic; Public opinion; Health; Information resources; Health policy; Patients' attitudes; Health literacy; Health attitudes; SARS-CoV-2; Theory of knowledge; Chronic diseases; Chronic illness; Citizen science; Long Covid; Long-hauler; Patient activism; Patient groups; Post-acute COVID-19 syndrome,SocIndex,590,,,,,,,
765,journalArticle,2015,"Theocharis, Yannis; Lowe, Will; van Deth, Jan W.; García-Albacete, Gema","Using Twitter to mobilize protest action: online mobilization patterns and action repertoires in the Occupy Wall Street, Indignados, and Aganaktismenoi movements.","Information, Communication & Society",,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=98902925&site=ehost-live,"The extensive use of social media for protest purposes was a distinctive feature of the recent protest events in Spain, Greece, and the United States. Like the Occupy Wall Street protesters in the United States, the indignant activists of Spain and Greece protested against unjust, unequal, and corrupt political and economic institutions marked by the arrogance of those in power. Social media can potentially change or contribute to the political communication, mobilization, and organization of social movements. To what extent did these three movements use social media in such ways? To answer this question a comparative content analysis of tweets sent during the heydays of each of the campaigns is conducted. The results indicate that, although Twitter was used significantly for political discussion and to communicate protest information, calls for participation were not predominant. Only a very small minority of tweets referred to protest organization and coordination issues. Furthermore, comparing the actual content of the Twitter information exchanges reveals similarities as well as differences among the three movements, which can be explained by the different national contexts. [ABSTRACT FROM AUTHOR]","Social media; Twitter (Web resource); Mass mobilization; Twitter; Political campaigns; social media; Social movements; social movements; protest; Occupy Wall Street protest movement; mobilization; 15-M movement, Spain, 2011-",SocIndex,585,,,,,,,
80,journalArticle,2017,"Sinnenberg, Lauren; Buttenheim, Alison M.; Padrez, Kevin; Mancheno, Christina; Ungar, Lyle; Merchant, Raina M.",Twitter as a Tool for Health Research: A Systematic Review.,American Journal of Public Health,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=120045868&site=ehost-live,"Background. Researchers have used traditional databases to study public health for decades. Less is known about the use of social media data sources, such as Twitter, for this purpose. Objectives. To systematically review the use of Twitter in health research, define a taxonomy to describe Twitter use, and characterize the current state of Twitter in health research. Search methods. We performed a literature search in PubMed, Embase, Web of Science, Google Scholar, and CINAHL through September 2015. Selection criteria. We searched for peer-reviewed original research studies that primarily used Twitter for health research. Data collection and analysis. Two authors independently screened studies and abstracted data related to the approach to analysis of Twitter data, methodology used to study Twitter, and current state of Twitter research by evaluating time of publication, research topic, discussion of ethical concerns, and study funding source. Main results. Of 1110 unique health-related articles mentioning Twitter, 137 met eligibility criteria. The primary approaches for using Twitter in health research that constitute a new taxonomy were content analysis (56%; n = 77), surveillance (26%; n = 36), engagement (14%; n = 19), recruitment (7%; n = 9), intervention (7%; n = 9), and network analysis (4%; n = 5). These studies collectively analyzed more than 5 billion tweets primarily by using the Twitter application program interface. Of 38 potential data features describing tweets and Twitter users, 23 were reported in fewer than 4% of the articles. The Twitter-based studies in this review focused on a small subset of data elements including content analysis, geotags, and language. Most studies were published recently (33% in 2015). Public health (23%; n = 31) and infectious disease (20%; n = 28) were the research fields most commonly represented in the included studies. Approximately one third of the studies mentioned ethical board approval in their articles. Primary funding sources included federal (63%), university (13%), and foundation (6%). Conclusions. We identified a new taxonomy to describe Twitter use in health research with 6 categories. Many data elements discernible from a user’s Twitter profile, especially demographics, have been underreported in the literature and can provide new opportunities to characterize the users whose data are analyzed in these studies. Twitter-based health research is a growing field funded by a diversity of organizations. Public health implications. Future work should develop standardized reporting guidelines for health researchers who use Twitter and policies that address privacy and ethical concerns in social media research. [ABSTRACT FROM AUTHOR]",Social media; Content analysis; CINAHL database; Classification; Computer network resources; Medical information storage & retrieval systems; Medical research; MEDLINE; Online information services; Research methodology evaluation; Systematic reviews,SocIndex,576,,,,,,,
1190,journalArticle,2016,"Bode, Leticia",Political News in the News Feed: Learning Politics from Social Media.,Mass Communication & Society,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=112042616&site=ehost-live,"Although literature about the relationship between social media and political behaviors has expanded in recent years, little is known about the roles of social media as a source of political information. To fill this gap, this article considers the question of whether and to what extent learning political information occurs via Facebook and Twitter. Theory suggests that social media may play a significant role in the learning of political information within the modern media environment. Making use of a combination of experimental and survey-based studies, the data suggest that the potential for users to learn political information from social media exists but is not always realized within the general population. [ABSTRACT FROM AUTHOR]",Practical politics; Social media; Twitter Inc.; Facebook Inc.; Literature,SocIndex,566,,,,,,,
1112,journalArticle,2014,"Bamman, David; Eisenstein, Jacob; Schnoebelen, Tyler",Gender identity and lexical variation in social media[The resear].,Journal of Sociolinguistics,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=95891931&site=ehost-live,"We present a study of the relationship between gender, linguistic style, and social networks, using a novel corpus of 14,000 Twitter users. Prior quantitative work on gender often treats this social variable as a female/male binary; we argue for a more nuanced approach. By clustering Twitter users, we find a natural decomposition of the dataset into various styles and topical interests. Many clusters have strong gender orientations, but their use of linguistic resources sometimes directly conflicts with the population-level language statistics. We view these clusters as a more accurate reflection of the multifaceted nature of gendered language styles. Previous corpus-based work has also had little to say about individuals whose linguistic styles defy population-level gender patterns. To identify such individuals, we train a statistical classifier, and measure the classifier confidence for each individual in the dataset. Examining individuals whose language does not match the classifier's model for their gender, we find that they have social networks that include significantly fewer same-gender social connections and that, in general, social network homophily is correlated with the use of same-gender language markers. Pairing computational methods and social theory thus offers a new perspective on how gender emerges as individuals position themselves relative to audiences, topics, and mainstream gender norms. [ABSTRACT FROM AUTHOR]",Social media; social media; Gender; social networks; computer-mediated communication; Sociolinguistics; computational methods; computer‐mediated communication; Comparative linguistics; Linguistic change; Linguostylistics; Literary style; style,SocIndex,540,,,,,,,
556,journalArticle,2013,"Ausserhofer, J; Maireder, A",NATIONAL POLITICS ON TWITTER: Structures and topics of a networked public sphere,INFORMATION COMMUNICATION & SOCIETY,10.1080/1369118X.2012.756050,,"The increasing use of Twitter by politicians, journalists, political strategists and citizens has made it an important part of the networked sphere in which political issues are publicly negotiated. The growing number of studies investigating the relationship between Twitter and politics supports this claim. To the knowledge of the authors, this is the first study that examines the interrelation of individuals on the basis of their professions, their topics and their connection to mass media. Taking the example of Austria, they developed a user-centred method that overcomes the limitations inherent to other approaches in this field. The different types of data they gathered Twitter user data, 1,375 newspaper articles and manually coded 145,356 tweets allowed them to perform several analyses which provided insights into the structure and topics of a national public Twittersphere. Their results show that the network formed by Austria's most relevant political Twitter users is dominated by an elite of political professionals but open to outside participation. The topic analysis reveals the emergence of niche authorities and the periodic divergence of the political discourse on Twitter with that of mass media. The article concludes with a summary of how these phenomena relate to political participation.",SOCIAL MEDIA; social media; INTERNET; politics; journalism; participation; mass media; Twitter networks,WOS,535,,,,,,,
1369,journalArticle,2018,"Waterloo, Sophie F; Baumgartner, Susanne E; Peter, Jochen; Valkenburg, Patti M","Norms of online expressions of emotion: Comparing Facebook, Twitter, Instagram, and WhatsApp.",New Media & Society,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=129416056&site=ehost-live,"The main aim of this study was to examine the norms of expressing emotions on social media. Specifically, the perceived appropriateness (i.e. injunctive norms) of expressing six discrete emotions (i.e. sadness, anger, disappointment, worry, joy, and pride) was investigated across four different social media platforms. Drawing on data collected in March 2016 among 1201 young Dutch users (15-25 years), we found that positive expressions were generally perceived as more appropriate than negative expressions across all platforms. In line with the objective of the study, some platform differences were found. The expression of negative emotions was rated as most appropriate for WhatsApp, followed by Facebook, Twitter, and Instagram. For positive emotion expression, perceived appropriateness was highest for WhatsApp, followed by Instagram, Facebook, and Twitter. Additionally, some gender differences were found, while age showed little variations. Overall, the results contribute to a more informed understanding of emotion expression online. [ABSTRACT FROM AUTHOR]",Social media; Twitter (Web resource); Emotions; Facebook (Web resource); Online social networks; Internet; Instagram (Web resource); positivity bias; self-disclosure; self-expression; Self-expression; social context; social network sites; WhatsApp Inc.,SocIndex,532,,,,,,,
399,journalArticle,2009,"MOROZOV, EVGENY","Iran: Downside to the ""Twitter Revolution"".",Dissent (00123846),,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=44211928&site=ehost-live,"In this article the author discusses the protest movement and the street demonstrations that took place in Iran following the 2009 election that returned president Mahmoud Ahmediniejad to office. The article focuses on the role played by Twitter, an Internet social networking web site, in bringing news of the dissent to the outside world. The author addresses a number of topics surrounding this issue including the misinformation that can result from such communication, the loss of privacy in Internet use and the pitfalls of online political activism.","Social networks; Twitter Inc.; Protest movements; Iran; Ahmadinejad, Mahmoud, 1956-; Iranian politics & government, 1997-",SocIndex,531,,,,,,,
551,journalArticle,2013,"Graham, T; Broersma, M; Hazelhoff, K; van't Haar, G",BETWEEN BROADCASTING POLITICAL MESSAGES AND INTERACTING WITH VOTERS: The use of Twitter during the 2010 UK general election campaign,INFORMATION COMMUNICATION & SOCIETY,10.1080/1369118X.2013.785581,,"Politicians across Western democracies are increasingly adopting and experimenting with Twitter, particularly during election time. The purpose of this article is to investigate how candidates are using it during an election campaign. The aim is to create a typology of the various ways in which candidates behaved on Twitter. Our research, which included a content analysis of tweets (n=26,282) from all twittering Conservative, Labour and Liberal Democrat candidates (n=416) during the 2010 UK General Election campaign, focused on four aspects of tweets: type, interaction, function and topic. By examining candidates' twittering behaviour, the authors show that British politicians mainly used Twitter as a unidirectional form of communication. However, there were a group of candidates who used it to interact with voters by, for example, mobilizing, helping and consulting them, thus tapping into the potential Twitter offers for facilitating a closer relationship with citizens.",NEWS; MEDIA; Twitter; social media; content analysis; politicians; UK; election campaign; PARTIES,WOS,524,,,,,,,
33,journalArticle,2013,"Bruns, Axel; Highfield, Tim; Burgess, Jean",The Arab Spring and Social Media Audiences: English and Arabic Twitter Users and Their Networks.,American Behavioral Scientist,,https://ezproxy.lib.utexas.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=sih&AN=88262185&site=ehost-live,"Although popular media narratives about the role of social media in driving the events of the 2011 “Arab Spring” are likely to overstate the impact of Facebook and Twitter on these uprisings, it is nonetheless true that protests and unrest in countries from Tunisia to Syria generated a substantial amount of social media activity. On Twitter alone, several millions of tweets containing the hashtags #libya or #egypt were generated during 2011, both by directly affected citizens of these countries and by onlookers from further afield. What remains unclear, though, is the extent to which there was any direct interaction between these two groups (especially considering potential language barriers between them). Building on hashtag data sets gathered between January and November 2011, this article compares patterns of Twitter usage during the popular revolution in Egypt and the civil war in Libya. Using custom-made tools for processing “big data,” we examine the volume of tweets sent by English-, Arabic-, and mixed-language Twitter users over time and examine the networks of interaction (variously through @replying, retweeting, or both) between these groups as they developed and shifted over the course of these uprisings. Examining @reply and retweet traffic, we identify general patterns of information flow between the English- and Arabic-speaking sides of the Twittersphere and highlight the roles played by users bridging both language spheres. [ABSTRACT FROM PUBLISHER]","Social media; Twitter (Web resource); Political participation; Twitter; Public demonstrations; Facebook (Web resource); Online social networks; Arab Spring; Egypt; Statistical correlation; Blogs & politics; Arab countries; Arabic language; English language; Internet access; language networks; Libya; Meta tags (HTML); Transborder data flow; Arab Spring Uprisings, 2011-",SocIndex,513,,,,,,,
